股票代码,股票名称,分类标签
SZ300360,炬华科技,自选股
SZ300363,博腾股份,自选股
SZ300364,中文在线,自选股
SZ300377,赢时胜,自选股
SZ300380,安硕信息,自选股
SZ300383,光环新网,自选股
SZ300386,飞天诚信,自选股
SZ300387,富邦科技,自选股
SZ300410,正业科技,自选股
SZ300413,芒果超媒,自选股
SZ300416,苏试试验,自选股
SZ300418,昆仑万维,自选股
SZ300424,航新科技,自选股
SZ300433,蓝思科技,自选股
SZ300434,金石亚药,自选股
SZ300438,鹏辉能源,自选股
SZ300443,金雷股份,自选股
SZ300446,航天智造,自选股
SZ300450,先导智能,自选股
SZ300455,航天智装,自选股
SZ300457,赢合科技,自选股
SZ300464,星徽股份,自选股
SZ300467,迅游科技,自选股
SZ300473,德尔股份,自选股
SZ300474,景嘉微,自选股
SZ300479,神思电子,自选股
SZ300480,光力科技,自选股
SZ300483,首华燃气,自选股
SZ300487,蓝晓科技,自选股
SZ300494,盛天网络,自选股
SZ300497,富祥药业,自选股
SZ300499,高澜股份,自选股
SZ300504,天邑股份,自选股
SZ300513,恒实科技,自选股
SZ300530,领湃科技,自选股
SZ300532,今天国际,自选股
SZ300545,联得装备,自选股
SZ300552,万集科技,自选股
SZ300562,乐心医疗,自选股
SZ300568,星源材质,自选股
SZ300569,天能重工,自选股
SZ300579,数字认证,自选股
SZ300581,晨曦航空,自选股
SZ300589,江龙船艇,自选股
SZ300595,欧普康视,自选股
SZ300601,康泰生物,自选股
SZ300607,拓斯达,自选股
SZ300611,美力科技,自选股
SZ300613,富瀚微,自选股
SZ300617,安靠智电,自选股
SZ300620,光库科技,自选股
SZ300622,博士眼镜,自选股
SZ300624,万兴科技,自选股
SZ300628,亿联网络,自选股
SZ300639,凯普生物,自选股
SZ300653,正海生物,自选股
SZ300655,晶瑞电材,自选股
SZ300657,弘信电子,自选股
SZ300658,延江股份,自选股
SZ300662,科锐国际,自选股
SZ300663,科蓝软件,自选股
SZ300666,江丰电子,自选股
SZ300678,中科信息,自选股
SZ300682,朗新科技,自选股
SZ300684,中石科技,自选股
SZ300696,爱乐达,自选股
SZ300697,电工合金,自选股
SZ300699,光威复材,自选股
SZ300700,岱勒新材,自选股
SZ300721,怡达股份,自选股
SZ300724,捷佳伟创,自选股
SZ300726,宏达电子,自选股
SZ300730,科创信息,自选股
SZ300731,科创新源,自选股
SZ300747,锐科激光,自选股
SZ300751,迈为股份,自选股
SZ300753,爱朋医疗,自选股
SZ300758,七彩化学,自选股
SZ300760,迈瑞医疗,自选股
SZ300761,立华股份,自选股
SZ300763,锦浪科技,自选股
SZ300777,中简科技,自选股
SZ300781,因赛集团,自选股
SZ300782,卓胜微,自选股
SZ300789,唐源电气,自选股
SZ300802,矩子科技,自选股
SZ300812,易天股份,自选股
SZ300817,双飞集团,自选股
SZ300818,耐普矿机,自选股
SZ300827,上能电气,自选股
SZ300830,金现代,自选股
SZ300835,龙磁科技,自选股
SZ300839,博汇股份,自选股
SZ300850,新强联,自选股
SZ300852,四会富仕,自选股
SZ300854,中兰环保,自选股
SZ300866,安克创新,自选股
SZ300867,圣元环保,自选股
SZ300871,回盛生物,自选股
SZ300887,谱尼测试,自选股
SZ300911,亿田智能,自选股
SZ300947,德必集团,自选股
SZ300951,博硕科技,自选股
SZ300961,深水海纳,自选股
SZ300965,恒宇信通,自选股
SZ300967,晓鸣股份,自选股
SZ300971,博亚精工,自选股
SZ300973,立高食品,自选股
SZ300979,华利集团,自选股
SZ301013,利和兴,自选股
SZ301016,雷尔伟,自选股
SZ301018,申菱环境,自选股
SZ301035,润丰股份,自选股
SZ301058,中粮科工,自选股
SZ301078,孩子王,自选股
SZ301087,可孚医疗,自选股
SZ301137,哈焊华通,自选股
SZ301152,天力锂能,自选股
SZ301159,三维天地,自选股
SZ301176,逸豪新材,自选股
SZ301177,迪阿股份,自选股
SZ301207,华兰疫苗,自选股
SZ301256,华融化学,自选股
SZ301262,海看股份,自选股
SZ301297,富乐德,自选股
SZ301312,智立方,自选股
SZ301315,威士顿,自选股
SZ301321,翰博高新,自选股
SZ301322,绿通科技,自选股
SZ301323,新莱福,自选股
SZ301363,美好医疗,自选股
SZ301366,一博科技,自选股
SZ301379,天山电子,自选股
SZ301381,赛维时代,自选股
SZ301382,蜂助手,自选股
SZ301396,宏景科技,自选股
SZ301398,星源卓镁,自选股
SZ301439,泓淋电力,自选股
SZ301517,陕西华达,自选股
SZ301606,绿联科技,自选股
SZ301616,浙江华业,自选股
SZ301668,昊创瑞通,自选股
